Country,Baseline.Num,Baseline.FT,Intervention.Num,Intervention.FT,Baseline.Rate,Intervention.Rate,site,age
Cote d'Ivoire,10,12,19,22.7506849315068,0.833333333333333,0.835139691714838,9,0-4
Cote d'Ivoire,28,12,62,19.6602739726027,2.33333333333333,3.15356744704571,10,0-4
Cote d'Ivoire,27,12,30,23.2767123287671,2.25,1.28884180790961,11,0-4
Cote d'Ivoire,7,12,8,17.2602739726027,0.583333333333333,0.463492063492065,12,0-4
Cote d'Ivoire,2,12,2,22.8821917808219,0.166666666666667,0.0874042145593871,32,0-4
Cote d'Ivoire,1,12,5,19.5945205479452,0.0833333333333333,0.255173378076063,37,0-4
Cote d'Ivoire,1,12,2,21.2712328767123,0.0833333333333333,0.0940236991241629,38,0-4
Cote d'Ivoire,2,12,7,22.3561643835616,0.166666666666667,0.31311274509804,44,0-4
Cote d'Ivoire,2,12,14,20.8109589041096,0.166666666666667,0.672722485518694,45,0-4
Cote d'Ivoire,6,12,3,20.7780821917808,0.5,0.144382911392405,46,0-4
Cameroon,0,12,1,12.8876712328767,0,0.0775935374149661,8,0-4
Cameroon,3,12,3,22.3232876712329,0.25,0.134388807069219,13,0-4
Cameroon,2,12,0,22.3561643835616,0.166666666666667,0,20,0-4
Cameroon,1,12,4,23.2767123287671,0.0833333333333333,0.171845574387947,34,0-4
Cameroon,0,12,6,16.8657534246575,0,0.355750487329436,40,0-4
Cameroon,4,12,3,23.3424657534247,0.333333333333333,0.128521126760563,41,0-4
Cameroon,3,12,7,17.8849315068493,0.25,0.391390931372549,42,0-4
Cameroon,0,12,2,17.227397260274,0,0.116094147582697,43,0-4
Cameroon,23,12,27,16.9972602739726,1.91666666666667,1.5884912959381,47,0-4
Cameroon,3,12,5,19.9890410958904,0.25,0.250137061403509,48,0-4
Cameroon,0,12,1,21.6,0,0.0462962962962963,49,0-4
Cameroon,3,12,14,21.8958904109589,0.25,0.63938938938939,50,0-4
Cameroon,0,12,0,20.0219178082192,0,0,51,0-4
Cameroon,10,12,19,21.9287671232877,0.833333333333333,0.866441779110444,86,0-4
DRC,10,12,16,22.2904109589041,0.833333333333333,0.717797443461161,5,0-4
DRC,6,12,11,22.1917808219178,0.5,0.495679012345679,14,0-4
DRC,73,12,111,22.158904109589,6.08333333333333,5.00927299703265,15,0-4
DRC,14,12,42,22.0602739726027,1.16666666666667,1.90387481371088,22,0-4
DRC,5,12,36,22.1260273972603,0.416666666666667,1.62704309063893,23,0-4
DRC,8,12,40,22.2904109589041,0.666666666666667,1.7944936086529,24,0-4
DRC,4,12,42,21.8958904109589,0.333333333333333,1.91816816816817,25,0-4
DRC,6,12,34,22.2904109589041,0.5,1.52531956735497,26,0-4
DRC,10,12,37,22.0931506849315,0.833333333333333,1.67472718253968,27,0-4
DRC,10,12,22,22.1260273972603,0.833333333333333,0.994304110946012,28,0-4
DRC,7,12,37,22.0931506849315,0.583333333333333,1.67472718253968,29,0-4
DRC,9,12,14,22.1917808219178,0.75,0.630864197530864,30,0-4
DRC,11,12,21,22.2904109589041,0.916666666666667,0.942109144542773,31,0-4
DRC,5,12,41,22.2904109589041,0.416666666666667,1.83935594886922,53,0-4
DRC,18,12,40,22.2575342465753,1.5,1.79714426390941,56,0-4
DRC,100,12,93,22.158904109589,8.33333333333333,4.1969584569733,60,0-4
DRC,35,12,149,22.2904109589041,2.91666666666667,6.68448869223206,63,0-4
DRC,21,12,71,22.2575342465753,1.75,3.1899310684392,64,0-4
DRC,7,12,6,22.2575342465753,0.583333333333333,0.269571639586411,68,0-4
DRC,0,12,6,22.2575342465753,0,0.269571639586411,93,0-4
DRC,5,12,63,22.2904109589041,0.416666666666667,2.82632743362832,120,0-4
Kenya,0,12,0,20.9753424657534,0,0,66,0-4
Kenya,115,12,256,21.041095890411,9.58333333333333,12.1666666666666,71,0-4
