name,value
Number of sites,126
Site time,12301.55
Median sites per country,
Median IQR site time,33.01 (30.28 - 34.32)
Site time for BL,4536
Site time for INT,7765.55
Rate BL,0.87
Rate INT,1.25
Median IQR Rate BL,0.33 (0.08 - 0.83)
Median IQR Rate INT,0.33 (0.08 - 0.83)
Range country rates BL,0.27 - 2.26
Range country rates INT,0.26 - 3.55
Number of txs 0-4,
Number of txs 5-14,
Number of txs 0-14,
Number of txs 0-4,
Number of txs 5-14,
Number of txs 0-14,
Percent sites improving 0-4,69.05
Percent sites improving 5-14,53.97
Percent sites improving 0-14,68.25
