Country,Baseline.Num,Baseline.FT,Intervention.Num,Intervention.FT,Baseline.Rate,Intervention.Rate,site,age
Cote d'Ivoire,169,12,348,22.7506849315068,14.0833333333333,15.2962427745665,10,0-4
Cote d'Ivoire,67,12,227,19.6602739726027,5.58333333333333,11.5461259754738,11,0-4
Cote d'Ivoire,69,12,141,23.2767123287671,5.75,6.05755649717515,12,0-4
Cote d'Ivoire,43,12,59,17.2602739726027,3.58333333333333,3.41825396825398,13,0-4
Cote d'Ivoire,17,12,51,22.8821917808219,1.41666666666667,2.22880747126437,33,0-4
Cote d'Ivoire,20,12,114,19.5945205479452,1.66666666666667,5.81795302013423,39,0-4
Cote d'Ivoire,50,12,189,21.2712328767123,4.16666666666667,8.8852395672334,40,0-4
Cote d'Ivoire,31,12,173,22.3561643835616,2.58333333333333,7.73835784313727,46,0-4
Cote d'Ivoire,28,12,176,20.8109589041096,2.33333333333333,8.45708267509215,47,0-4
Cote d'Ivoire,28,12,135,20.7780821917808,2.33333333333333,6.49723101265824,48,0-4
Cameroon,23,12,27,12.8876712328767,1.91666666666667,2.09502551020408,9,0-4
Cameroon,1,12,21,22.3232876712329,0.0833333333333333,0.940721649484535,14,0-4
Cameroon,7,12,1,22.3561643835616,0.583333333333333,0.0447303921568628,21,0-4
Cameroon,0,12,102,23.2767123287671,0,4.38206214689266,35,0-4
Cameroon,2,12,46,16.8657534246575,0.166666666666667,2.72742040285901,42,0-4
Cameroon,7,12,25,23.3424657534247,0.583333333333333,1.07100938967136,43,0-4
Cameroon,0,12,8,17.8849315068493,0,0.447303921568628,44,0-4
Cameroon,0,12,32,17.227397260274,0,1.85750636132315,45,0-4
Cameroon,14,12,151,16.9972602739726,1.16666666666667,8.88378465506125,49,0-4
Cameroon,6,12,6,19.9890410958904,0.5,0.300164473684211,50,0-4
Cameroon,17,12,43,21.6,1.41666666666667,1.99074074074074,51,0-4
Cameroon,9,12,48,21.8958904109589,0.75,2.19219219219219,53,0-4
Cameroon,13,12,3,20.0219178082192,1.08333333333333,0.14983579638752,54,0-4
Cameroon,59,12,68,21.9287671232877,4.91666666666667,3.10094952523738,92,0-4
DRC,76,12,269,22.2904109589041,6.33333333333333,12.0679695181908,6,0-4
DRC,0,12,260,22.1917808219178,0,11.7160493827161,15,0-4
DRC,4,12,327,22.158904109589,0.333333333333333,14.7570474777448,16,0-4
DRC,12,12,573,22.0602739726027,1,25.9742921013413,23,0-4
DRC,54,12,244,22.1260273972603,4.5,11.0277365032194,24,0-4
DRC,15,12,143,22.2904109589041,1.25,6.41531465093412,25,0-4
DRC,0,12,163,21.8958904109589,0,7.44431931931932,26,0-4
DRC,0,12,609,22.2904109589041,0,27.3211651917404,27,0-4
DRC,2,12,190,22.0931506849315,0.166666666666667,8.5999503968254,28,0-4
DRC,1,12,1427,22.1260273972603,0.0833333333333333,64.4941802872709,29,0-4
DRC,2,12,206,22.0931506849315,0.166666666666667,9.32415674603175,30,0-4
DRC,0,12,317,22.1917808219178,0,14.2845679012346,31,0-4
DRC,4,12,330,22.2904109589041,0.333333333333333,14.8045722713864,32,0-4
DRC,11,12,189,22.2904109589041,0.916666666666667,8.47898230088496,56,0-4
DRC,1,12,125,22.2575342465753,0.0833333333333333,5.6160758247169,59,0-4
DRC,2,12,25,22.158904109589,0.166666666666667,1.12821463897132,63,0-4
DRC,5,12,71,22.2904109589041,0.416666666666667,3.1852261553589,66,0-4
DRC,2,12,413,22.2575342465753,0.166666666666667,18.5555145248646,67,0-4
DRC,0,12,112,22.2575342465753,0,5.03200393894634,72,0-4
DRC,2,12,122,22.2575342465753,0.166666666666667,5.48129000492369,99,0-4
DRC,1,12,88,22.2904109589041,0.0833333333333333,3.94788593903638,125,0-4
Kenya,7,12,42,20.9753424657534,0.583333333333333,2.00235109717869,69,0-4
Kenya,74,12,268,21.041095890411,6.16666666666667,12.7369791666666,75,0-4
Kenya,4,12,55,20.9753424657534,0.333333333333333,2.62212643678161,77,0-4
Kenya,5,12,25,20.7123287671233,0.416666666666667,1.20701058201058,83,0-4
Kenya,16,12,56,21.041095890411,1.33333333333333,2.66145833333333,91,0-4
Kenya,6,12,87,21.041095890411,0.5,4.13476562499999,94,0-4
Kenya,5,12,25,21.041095890411,0.416666666666667,1.18815104166666,102,0-4
Kenya,12,12,36,20.5479452054795,1,1.752,104,0-4
Kenya,2,12,30,20.9424657534247,0.166666666666667,1.43249607535322,108,0-4
Kenya,0,12,6,21.041095890411,0,0.285156249999999,109,0-4
Kenya,5,12,27,21.0082191780822,0.416666666666667,1.28521126760563,110,0-4
Kenya,6,12,44,21.0082191780822,0.5,2.094418362024,111,0-4
Kenya,11,12,60,21.0082191780822,0.916666666666667,2.85602503912363,116,0-4
Kenya,12,12,62,21.0082191780822,1,2.95122587376108,128,0-4
Kenya,0,12,23,20.7452054794521,0,1.10868991019545,131,0-4
Lesotho,2,12,32,18.9369863013699,0.166666666666667,1.68981481481481,4,0-4
Lesotho,0,12,21,18.8712328767123,0,1.11280487804878,37,0-4
Lesotho,14,12,32,18.6082191780822,1.16666666666667,1.71967020023557,65,0-4
Lesotho,1,12,9,18.5095890410959,0.0833333333333333,0.486234458259325,73,0-4
Lesotho,0,12,17,17.786301369863,0,0.955791743684536,76,0-4
Lesotho,1,12,25,18.9698630136986,0.0833333333333333,1.31787983824379,78,0-4
Lesotho,3,12,35,18.5095890410959,0.25,1.8909117821196,81,0-4
Lesotho,38,12,29,18.8383561643836,3.16666666666667,1.53941244909831,84,0-4
Lesotho,6,12,17,18.5095890410959,0.5,0.918442865600947,85,0-4
Lesotho,0,12,31,18.8383561643836,0,1.64557882489819,86,0-4
Lesotho,1,12,37,16.7013698630137,0.0833333333333333,2.21538713910761,87,0-4
Lesotho,4,12,9,18.9698630136986,0.333333333333333,0.474436741767765,96,0-4
Lesotho,41,12,30,18.9041095890411,3.41666666666667,1.58695652173913,106,0-4
Lesotho,7,12,23,17.8191780821918,0.583333333333333,1.29074415744157,112,0-4
Lesotho,14,12,6,18.6082191780822,1.16666666666667,0.322438162544169,114,0-4
Lesotho,0,12,41,18.5095890410959,0,2.21506808762581,115,0-4
Lesotho,0,12,5,17.1287671232877,0,0.291906589891234,117,0-4
Lesotho,0,12,26,18.4109589041096,0,1.41220238095238,121,0-4
Lesotho,1,12,25,18.2794520547945,0.0833333333333333,1.36765587529976,127,0-4
Malawi,44,12,154,23.9342465753425,3.66666666666667,6.43429487179486,1,0-4
Malawi,0,12,5,23.572602739726,0,0.212110646211065,5,0-4
Malawi,29,12,92,23.6712328767123,2.41666666666667,3.88657407407408,18,0-4
Malawi,17,12,71,23.7698630136986,1.41666666666667,2.9869755647764,20,0-4
Malawi,7,12,24,23.7698630136986,0.583333333333333,1.00968188105118,34,0-4
Malawi,4,12,22,23.2767123287671,0.333333333333333,0.945150659133711,64,0-4
Malawi,36,12,85,23.9342465753425,3,3.55139652014652,74,0-4
Malawi,14,12,39,24,1.16666666666667,1.625,93,0-4
Malawi,49,12,91,23.9013698630137,4.08333333333333,3.80731315910133,95,0-4
Malawi,8,12,20,23.3095890410959,0.666666666666667,0.858015984955336,98,0-4
Malawi,61,12,119,23.7698630136986,5.08333333333333,5.00633932687875,103,0-4
Malawi,43,12,36,23.7369863013699,3.58333333333333,1.51662049861496,105,0-4
Malawi,7,12,44,23.8027397260274,0.583333333333333,1.84852670349908,123,0-4
Malawi,15,12,64,23.7698630136986,1.25,2.69248501613647,126,0-4
Malawi,22,12,46,23.9342465753425,1.83333333333333,1.92193223443223,130,0-4
Uganda,5,12,1,18.0164383561644,0.416666666666667,0.0555048661800486,7,0-4
Uganda,0,12,16,18.0493150684931,0,0.886460230722528,8,0-4
Uganda,1,12,5,19.0356164383562,0.0833333333333333,0.262665515256188,55,0-4
Uganda,0,12,15,17.0301369863014,0,0.880791505791504,57,0-4
Uganda,0,12,15,18.1479452054794,0,0.826539855072466,58,0-4
Uganda,1,12,35,17.9835616438356,0.0833333333333333,1.94622181596588,60,0-4
Uganda,0,12,9,18.0493150684931,0,0.498633879781422,61,0-4
Uganda,0,12,2,14.9260273972603,0,0.133994126284875,62,0-4
Uganda,7,12,1,18.0493150684931,0.583333333333333,0.055403764420158,68,0-4
Uganda,0,12,10,17.9506849315068,0,0.557081807081809,70,0-4
Uganda,8,12,13,16.8986301369863,0.666666666666667,0.769293125810636,88,0-4
Uganda,2,12,30,16.3397260273973,0.166666666666667,1.83601609657947,89,0-4
