Country,Baseline.Num,Baseline.FT,Intervention.Num,Intervention.FT,Baseline.Rate,Intervention.Rate,site,age
Cote d'Ivoire,10,12,19,22.7506849315068,0.833333333333333,0.835139691714838,11,0-4
Cote d'Ivoire,28,12,61,19.6602739726027,2.33333333333333,3.10270345596433,12,0-4
Cote d'Ivoire,27,12,30,23.2767123287671,2.25,1.28884180790961,13,0-4
Cote d'Ivoire,7,12,8,17.2602739726027,0.583333333333333,0.463492063492065,14,0-4
Cote d'Ivoire,2,12,2,22.8821917808219,0.166666666666667,0.0874042145593871,35,0-4
Cote d'Ivoire,1,12,5,19.5945205479452,0.0833333333333333,0.255173378076063,40,0-4
Cote d'Ivoire,1,12,2,21.2712328767123,0.0833333333333333,0.0940236991241629,41,0-4
Cote d'Ivoire,2,12,7,22.3561643835616,0.166666666666667,0.31311274509804,47,0-4
Cote d'Ivoire,2,12,14,20.8109589041096,0.166666666666667,0.672722485518694,48,0-4
Cote d'Ivoire,6,12,3,20.7780821917808,0.5,0.144382911392405,49,0-4
Cameroon,0,12,1,12.8876712328767,0,0.0775935374149661,10,0-4
Cameroon,3,12,3,22.3232876712329,0.25,0.134388807069219,15,0-4
Cameroon,2,12,0,22.3561643835616,0.166666666666667,0,23,0-4
Cameroon,1,12,4,23.2767123287671,0.0833333333333333,0.171845574387947,37,0-4
Cameroon,0,12,6,16.8657534246575,0,0.355750487329436,43,0-4
Cameroon,4,12,3,23.3424657534247,0.333333333333333,0.128521126760563,44,0-4
Cameroon,3,12,7,17.8849315068493,0.25,0.391390931372549,45,0-4
Cameroon,0,12,2,17.227397260274,0,0.116094147582697,46,0-4
Cameroon,22,12,24,16.9972602739726,1.83333333333333,1.41199226305609,50,0-4
Cameroon,3,12,5,19.9890410958904,0.25,0.250137061403509,51,0-4
Cameroon,0,12,1,21.6,0,0.0462962962962963,52,0-4
Cameroon,3,12,14,21.8958904109589,0.25,0.63938938938939,53,0-4
Cameroon,0,12,0,20.0219178082192,0,0,54,0-4
Cameroon,10,12,19,21.9287671232877,0.833333333333333,0.866441779110444,97,0-4
DRC,10,12,16,22.2904109589041,0.833333333333333,0.717797443461161,5,0-4
DRC,6,12,11,22.1917808219178,0.5,0.495679012345679,16,0-4
DRC,73,12,111,22.158904109589,6.08333333333333,5.00927299703265,17,0-4
DRC,7,12,42,22.0602739726027,0.583333333333333,1.90387481371088,25,0-4
DRC,5,12,35,22.1260273972603,0.416666666666667,1.58184744923229,26,0-4
DRC,2,12,39,22.2904109589041,0.166666666666667,1.74963126843658,27,0-4
DRC,4,12,42,21.8958904109589,0.333333333333333,1.91816816816817,28,0-4
DRC,4,12,34,22.2904109589041,0.333333333333333,1.52531956735497,29,0-4
DRC,4,12,37,22.0931506849315,0.333333333333333,1.67472718253968,30,0-4
DRC,10,12,22,22.1260273972603,0.833333333333333,0.994304110946012,31,0-4
DRC,7,12,37,22.0931506849315,0.583333333333333,1.67472718253968,32,0-4
DRC,9,12,14,22.1917808219178,0.75,0.630864197530864,33,0-4
DRC,9,12,21,22.2904109589041,0.75,0.942109144542773,34,0-4
DRC,5,12,41,22.2904109589041,0.416666666666667,1.83935594886922,57,0-4
DRC,18,12,31,22.2575342465753,1.5,1.39278680452979,63,0-4
DRC,97,12,93,22.158904109589,8.08333333333333,4.1969584569733,67,0-4
