site.effect,int.number,country
1.09305678793257,27,Cameroon
11.2886597938144,21,Cameroon
0.0766806722689077,1,Cameroon
Inf,102,Cameroon
16.364522417154,46,Cameroon
1.83601609657947,25,Cameroon
Inf,8,Cameroon
Inf,32,Cameroon
7.61467256148107,151,Cameroon
0.600328947368421,6,Cameroon
1.40522875816993,43,Cameroon
2.92292292292292,48,Cameroon
0.138309965896173,3,Cameroon
0.630701598353365,68,Cameroon
1.0861237473065,348,Cote d'Ivoire
2.06796286127889,227,Cote d'Ivoire
1.05348808646524,141,Cote d'Ivoire
0.953931339977854,59,Cote d'Ivoire
1.57327586206897,51,Cote d'Ivoire
3.49077181208054,114,Cote d'Ivoire
2.13245749613602,189,Cote d'Ivoire
2.99549335863378,173,Cote d'Ivoire
3.62446400361092,176,Cote d'Ivoire
2.78452757685353,135,Cote d'Ivoire
1.90546887129328,269,DRC
Inf,260,DRC
44.2711424332345,327,DRC
25.9742921013413,573,DRC
2.45060811182653,244,DRC
5.1322517207473,143,DRC
Inf,163,DRC
Inf,609,DRC
51.5997023809524,190,DRC
773.93016344725,1427,DRC
55.9449404761905,206,DRC
Inf,317,DRC
44.4137168141593,330,DRC
9.24979887369268,189,DRC
67.3929098966028,125,DRC
6.76928783382791,25,DRC
7.64454277286136,71,DRC
111.333087149188,413,DRC
Inf,112,DRC
32.8877400295422,122,DRC
47.3746312684366,88,DRC
3.43260188087775,42,Kenya
2.06545608108108,268,Kenya
7.86637931034484,55,Kenya
2.8968253968254,25,Kenya
1.99609375,56,Kenya
8.26953124999998,87,Kenya
2.85156249999999,25,Kenya
1.752,36,Kenya
8.59497645211929,30,Kenya
Inf,6,Kenya
3.08450704225352,27,Kenya
4.18883672404799,44,Kenya
3.11566367904396,60,Kenya
2.95122587376108,62,Kenya
Inf,23,Kenya
10.1388888888889,32,Lesotho
Inf,21,Lesotho
1.47400302877335,32,Lesotho
5.8348134991119,9,Lesotho
Inf,17,Lesotho
15.8145580589255,25,Lesotho
7.56364712847839,35,Lesotho
0.486130247083677,29,Lesotho
1.83688573120189,17,Lesotho
Inf,31,Lesotho
26.5846456692913,37,Lesotho
1.4233102253033,9,Lesotho
0.464475079533404,30,Lesotho
2.21270426989984,23,Lesotho
0.276375567895002,6,Lesotho
Inf,41,Lesotho
Inf,5,Lesotho
Inf,26,Lesotho
16.4118705035971,25,Lesotho
1.75480769230769,154,Malawi
Inf,5,Malawi
1.60823754789272,92,Malawi
2.10845333984216,71,Malawi
1.73088322465916,24,Malawi
2.83545197740113,22,Malawi
1.18379884004884,85,Malawi
1.39285714285714,39,Malawi
0.93240322263706,91,Malawi
1.287023977433,20,Malawi
0.984853638074509,119,Malawi
0.423242929846034,36,Malawi
3.16890292028414,44,Malawi
2.15398801290918,64,Malawi
1.04832667332667,46,Malawi
Inf,73,Tanzania
Inf,56,Tanzania
Inf,64,Tanzania
Inf,40,Tanzania
24.4395924308588,92,Tanzania
Inf,50,Tanzania
Inf,20,Tanzania
Inf,52,Tanzania
2.57504734848485,149,Tanzania
Inf,54,Tanzania
6.30255255255255,46,Tanzania
Inf,47,Tanzania
Inf,66,Tanzania
Inf,92,Tanzania
Inf,113,Tanzania
Inf,9,Tanzania
7.61549925484353,112,Tanzania
Inf,145,Tanzania
35.2002967359051,65,Tanzania
Inf,48,Tanzania
0.133211678832117,1,Uganda
Inf,16,Uganda
3.15198618307426,5,Uganda
Inf,15,Uganda
Inf,15,Uganda
23.3546617915905,35,Uganda
Inf,9,Uganda
Inf,2,Uganda
0.094977881863128,1,Uganda
Inf,10,Uganda
1.15393968871595,13,Uganda
11.0160965794768,30,Uganda
1.69579646017699,21,Uganda
14.6265938069217,22,Uganda
Inf,2,Uganda
Inf,2,Uganda
2.63063063063062,4,Uganda
0.914786967418547,8,Uganda
Inf,1,Zimbabwe
2.24468192358101,61,Zimbabwe
2.36501079913607,6,Zimbabwe
1.88144329896907,60,Zimbabwe
0.657499699771827,60,Zimbabwe
Inf,5,Zimbabwe
0.905707196029773,5,Zimbabwe
0.320597277119017,2,Zimbabwe
Inf,1,Zimbabwe
Inf,2,Zimbabwe
3.80208333333333,4,Zimbabwe
Inf,2,Zimbabwe
1.05362297568374,59,Zimbabwe
Inf,4,Zimbabwe
Inf,25,Zimbabwe
0.743976122879815,28,Zimbabwe
3.05372082782915,57,Zimbabwe
3.01426426426427,11,Zimbabwe
7.71466314398944,32,Zimbabwe
