site.effect,int.number,country
Inf,1,Cameroon
0.537555228276877,3,Cameroon
0,0,Cameroon
2.06214689265537,4,Cameroon
Inf,6,Cameroon
0.38556338028169,3,Cameroon
1.5655637254902,7,Cameroon
Inf,2,Cameroon
0.770177598030596,24,Cameroon
1.00054824561404,5,Cameroon
Inf,1,Cameroon
2.55755755755756,14,Cameroon
,0,Cameroon
1.03973013493253,19,Cameroon
1.00216763005781,19,Cote d'Ivoire
1.32973005255614,61,Cote d'Ivoire
0.572818581293158,30,Cote d'Ivoire
0.794557823129254,8,Cote d'Ivoire
0.524425287356322,2,Cote d'Ivoire
3.06208053691275,5,Cote d'Ivoire
1.12828438948996,2,Cote d'Ivoire
1.87867647058824,7,Cote d'Ivoire
4.03633491311216,14,Cote d'Ivoire
0.28876582278481,3,Cote d'Ivoire
0.861356932153393,16,DRC
0.991358024691358,11,DRC
0.823442136498518,111,DRC
3.26378539493294,42,DRC
3.7964338781575,35,DRC
10.4977876106195,39,DRC
5.75450450450451,42,DRC
4.5759587020649,34,DRC
5.02418154761905,37,DRC
1.19316493313521,22,DRC
2.87096088435374,37,DRC
0.841152263374486,14,DRC
1.25614552605703,21,DRC
4.41445427728614,41,DRC
0.928524536353194,31,DRC
0.519211355501852,93,DRC
2.29182469447956,149,DRC
1.79714426390941,70,DRC
0.462122810719562,6,DRC
Inf,6,DRC
6.78318584070797,63,DRC
,0,Kenya
1.48397640306122,255,Kenya
,0,Kenya
2.31746031746032,8,Kenya
2.85156249999999,10,Kenya
Inf,5,Kenya
0,0,Kenya
,0,Kenya
,0,Kenya
0,0,Kenya
Inf,1,Kenya
0,0,Kenya
5.14084507042253,9,Kenya
1.42801251956182,5,Kenya
1.15689381933439,2,Kenya
0.950520833333332,3,Lesotho
Inf,3,Lesotho
,0,Lesotho
,0,Lesotho
,0,Lesotho
Inf,1,Lesotho
0.324156305506217,2,Lesotho
3.1849912739965,15,Lesotho
0.97246891651865,3,Lesotho
0.212332751599767,1,Lesotho
3.59251968503937,5,Lesotho
Inf,4,Lesotho
0.272049689440994,6,Lesotho
,0,Lesotho
Inf,4,Lesotho
1.62078152753108,5,Lesotho
0,0,Lesotho
1.95535714285714,12,Lesotho
5.25179856115109,8,Lesotho
4.51236263736263,18,Malawi
,0,Malawi
1.68981481481482,10,Malawi
1.31258644536653,13,Malawi
5.30082987551868,21,Malawi
2.06214689265537,12,Malawi
1.50412087912088,9,Malawi
1.3125,21,Malawi
0.502063273727648,3,Malawi
Inf,15,Malawi
Inf,16,Malawi
2.52770083102493,30,Malawi
Inf,2,Malawi
14.6403872752421,29,Malawi
1.50412087912088,30,Malawi
4.86234458259325,15,Tanzania
Inf,6,Tanzania
Inf,11,Tanzania
1.52043738609737,64,Tanzania
5.84425036390102,44,Tanzania
27.9924812030076,51,Tanzania
12.0190641247834,19,Tanzania
23.1221719457014,42,Tanzania
2.33501683501684,38,Tanzania
0.453118153936031,34,Tanzania
0.64900426742532,45,Tanzania
19.280510018215,29,Tanzania
2.10786140089419,31,Tanzania
1.99751243781094,22,Tanzania
7.46886120996442,46,Tanzania
Inf,9,Tanzania
3.10836704279328,80,Tanzania
2.47289972899729,25,Tanzania
21.1201780415431,39,Tanzania
6.18644067796609,11,Tanzania
Inf,4,Uganda
Inf,10,Uganda
Inf,5,Uganda
2.11389961389961,3,Uganda
1.32246376811595,2,Uganda
7.34003656307131,11,Uganda
Inf,12,Uganda
Inf,7,Uganda
1.82832422586521,11,Uganda
Inf,12,Uganda
1.65693904020752,7,Uganda
1.23190757447913,52,Uganda
Inf,14,Uganda
Inf,13,Uganda
2.46621621621621,14,Uganda
3.34249084249085,5,Uganda
Inf,4,Uganda
Inf,8,Uganda
1.37218045112782,2,Uganda
0.230939576083518,14,Zimbabwe
2.36501079913607,3,Zimbabwe
0.684161199625117,16,Zimbabwe
20.9742404227213,87,Zimbabwe
Inf,1,Zimbabwe
Inf,3,Zimbabwe
1.76328502415459,2,Zimbabwe
2.16974900924703,9,Zimbabwe
0.0370332792207791,1,Zimbabwe
0.908713692946059,9,Zimbabwe
1.60722148833113,10,Zimbabwe
0.822072072072072,1,Zimbabwe
0.48216644649934,4,Zimbabwe
