NAME,DISTRIBUTION,DESCRIPTION,SOURCE,MEAN (IQR)
ontxY,"LN( -3.963316,0.6457913)",CFR children <5 on TB treatment,Jenkins et al 2017,0.019 (0.012 - 0.029)
ontxO,"LN(-4.828314,0.4817445)",CFR children 5-14 on TB treatment,Jenkins et al 2017,0.008 (0.006 - 0.011)
hivartOR:mn,"MVN: [2.6375681, -0.5683867]","ORs of death on TB treatment, (OR HIV+ vs -) x (ART -/+): mean","Jenkins et al 2017, Dodd et al 2017",
hivartOR:sg,"MVN: [[0.2325509,-0.2325509],[-0.2325509,0.6367345]]","ORs of death on TB treatment, (OR HIV+ vs -) x (ART -/+): variance","Jenkins et al 2017, Dodd et al 2017",
notxY,"LN(-0.830113,0.08035318)",CFR children <5 without TB treatment,Jenkins et al 2017,0.436 (0.413 - 0.460)
notxO,"LN(-1.903809,0.1285165)",CFR children 5-14 without TB treatment,Jenkins et al 2017,0.149 (0.137 - 0.162)
notxHAY,"B(15.18683,12.87500)",CFR children <5 without TB treatment (HIV+/ART+),Dodd et al 2017,0.542 (0.478 - 0.605)
notxHAO,"B(10.43383,11.08417)",CFR children 5-14 without TB treatment (HIV+/ART+),Dodd et al 2017,0.484 (0.412 - 0.558)
hivpi,"LN(2.066863,0.2800718)",IRR for TB incidence given HIV+/ART- (for individuals),Dodd et al 2017,7.900 (6.540 - 9.543)
artp,"LN(-1.203973,0.150482)",HR for TB incidence given HIV+/ART+ vs HIV+/ART-,Dodd et al 2016,0.300 (0.271 - 0.332)
HHhivprev04,"B(55,526)",Prevalence of HIV in child HH contacts of HIV+ index case,Martinez et al 2017,0.094 (0.086 - 0.103)
HHhivprev514,"B(54,854)",Prevalence of HIV in child HH contacts of HIV+ index case,Martinez et al 2017,0.059 (0.054 - 0.065)
LTBI04,"B(106.7330582,193.9234438)",LTBI prevalence,Fox et al 2013,0.355 (0.336 - 0.373)
LTBI514,"B(41.83776346,36.95275153)",LTBI prevalence,Fox et al 2013,0.531 (0.493 - 0.569)
iptRRhivpos,"LN(-1.171183,0.5127492)","RR for incident TB given IPT in HIV+, age <15",Zunza et al 2017,0.310 (0.219 - 0.438)
iptRRtstpos,"B(11.23657,113.6142)","RR for incident TB given IPT in TST+, age <15",Martinez et al 2020,0.090 (0.072 - 0.106)
prog04,"B(5.152793,21.96717)",LTBI+ progression u5,Martinez et al 2020,0.182 (0.136 - 0.236)
prog514,"B(4.151282,43.02238)",LTBI+ progression u5,Martinez et al 2020,0.082 (0.058 - 0.112)
ari,"B(15.28457,3041.629)",ARTI per year,assumption,0.5% (0.31 - 0.64%)
