"","Country","Activity","uc.soc","uc.soc.sd","uc.int","uc.int.sd"
"1","CDI","Community hhci",0,NA,18.72,NA
"2","CDI","Facility hhci",0,NA,111.85,NA
"3","CDI","Screening in HIV clinic",0,NA,0,NA
"4","CDI","Screening in non-HIV clinic",0,NA,1.3,NA
"5","CDI","Presumptive TB evaluation",3.52,1.507,20.75,NA
"6","CDI","Sample collection",1.29,0.005,53.84,NA
"7","CDI","Xpert testing",26.01,12.674,7.66,NA
"8","CDI","Chest x-ray",6.97,NA,1.82,NA
"9","CDI","TB treatment",95.25,45.107,20.7,NA
"10","CDI","TPT treatment",26.89,12.186,7.37,NA
"11","DRC","Community hhci",0,NA,0.68,NA
"12","DRC","Facility hhci",0,NA,79.35,NA
"13","DRC","Screening in HIV clinic",0,NA,0,NA
"14","DRC","Screening in non-HIV clinic",0,NA,0,NA
"15","DRC","Presumptive TB evaluation",1.54,0.622,32.02,NA
"16","DRC","Sample collection",1.65,0.006,95.86,NA
"17","DRC","Xpert testing",33.24,16.197,10.25,NA
"18","DRC","Chest x-ray",8.9,NA,0,NA
"19","DRC","TB treatment",75.49,36.258,64.4,NA
"20","DRC","TPT treatment",17.01,7.762,12.86,NA
"21","KEN","Community hhci",0,NA,371.77,NA
"22","KEN","Facility hhci",0,NA,3.88,NA
"23","KEN","Screening in HIV clinic",0,NA,0,NA
"24","KEN","Screening in non-HIV clinic",0,NA,0.05,NA
"25","KEN","Presumptive TB evaluation",4.13,1.791,0.26,NA
"26","KEN","Sample collection",1.31,0.005,128.67,NA
"27","KEN","Xpert testing",26.36,12.847,33.23,NA
"28","KEN","Chest x-ray",7.06,NA,0.49,NA
"29","KEN","TB treatment",101.41,47.948,17.16,NA
"30","KEN","TPT treatment",29.97,13.607,188.48,NA
"31","MWI","Community hhci",0,NA,338.35,NA
"32","MWI","Facility hhci",0,NA,35.2,NA
"33","MWI","Screening in HIV clinic",0,NA,0,NA
"34","MWI","Screening in non-HIV clinic",0,NA,0.11,NA
"35","MWI","Presumptive TB evaluation",1.14,0.452,16.96,NA
"36","MWI","Sample collection",1.21,0.005,152.74,NA
"37","MWI","Xpert testing",24.41,11.892,74.92,NA
"38","MWI","Chest x-ray",6.54,NA,0.88,NA
"39","MWI","TB treatment",71.52,34.555,83.81,NA
"40","MWI","TPT treatment",15.02,6.91,51.63,NA
"41","UGA","Community hhci",0,NA,152.93,NA
"42","UGA","Facility hhci",0,NA,17281.95,NA
"43","UGA","Screening in HIV clinic",0,NA,0.45,NA
"44","UGA","Screening in non-HIV clinic",0,NA,0.93,NA
"45","UGA","Presumptive TB evaluation",2.02,0.832,28.99,NA
"46","UGA","Sample collection",1.13,0.004,52.84,NA
"47","UGA","Xpert testing",22.82,11.12,21.74,NA
"48","UGA","Chest x-ray",6.11,NA,0.14,NA
"49","UGA","TB treatment",80.29,38.357,60.07,NA
"50","UGA","TPT treatment",19.41,8.812,25.52,NA
"51","ZWE","Community hhci",0,NA,4561.37,NA
"52","ZWE","Facility hhci",0,NA,87.95,NA
"53","ZWE","Screening in HIV clinic",0,NA,0.73,NA
"54","ZWE","Screening in non-HIV clinic",0,NA,4.88,NA
"55","ZWE","Presumptive TB evaluation",3.43,1.467,0,NA
"56","ZWE","Sample collection",1.61,0.006,50.62,NA
"57","ZWE","Xpert testing",32.44,15.808,0.24,NA
"58","ZWE","Chest x-ray",8.69,NA,0.18,NA
"59","ZWE","TB treatment",94.37,44.704,23.01,NA
"60","ZWE","TPT treatment",26.45,11.985,2.9,NA
