country,age,treated.soc,cost.soc,treated.int,cost.int,treated.dif,cost.dif,deaths.dif,LY0.dif,LY.dif,ICER
Cameroon,0-4,100,"148,352 (61,895 - 270,733)",129 ( 62 - 232),"  629,149 (253,044 - 1,267,611)", 29 (-38 - 132),"  480,797 ( 88,054 - 1,130,074)", -12 ( -55 -  16),"   758 ( -991 -  3,481)","  313 ( -409 - 1,437)","  1,537"
Cameroon,5-14,100,"149,073 (63,128 - 271,751)", 95 ( 60 - 147),"  459,766 (227,470 -   816,104)", -5 (-40 -  47),"  310,693 ( 45,053 -   670,569)",   1 (  -9 -   9),   -63 ( -521 -    568),  -28 ( -228 -   248),"-11,262"
Cote d'Ivoire,0-4,100," 75,691 (33,459 - 136,556)",142 ( 76 - 250),"  417,773 (190,868 -   786,935)", 42 (-24 - 150),"  342,083 (109,709 -   719,212)", -17 ( -62 -  10)," 1,070 ( -616 -  3,842)","  449 ( -259 - 1,614)",    761
Cote d'Ivoire,5-14,100," 76,029 (33,195 - 137,254)", 82 ( 51 - 121),"  242,292 (129,910 -   404,872)",-18 (-49 -  21),"  166,263 ( 38,259 -   336,515)",   3 (  -4 -   9),  -177 ( -514 -    216),  -79 ( -229 -    96)," -2,114"
DRC,0-4,100," 13,698 ( 6,855 -  23,037)",227 (141 - 345),"  119,636 ( 70,945 -   189,759)",127 ( 41 - 245),"  105,938 ( 56,293 -   176,305)", -52 (-104 - -16)," 3,308 (1,037 -  6,592)","1,357 (  425 - 2,704)",     78
DRC,5-14,100," 13,664 ( 6,834 -  22,944)",193 (143 - 261),"  102,279 ( 70,128 -   145,882)", 93 ( 43 - 161),"   88,615 ( 54,921 -   132,553)", -15 ( -27 -  -6),"   906 (  394 -  1,655)",  390 (  170 -   713),    227
Kenya,0-4,100,"119,906 (49,618 - 218,344)",155 ( 69 - 307),"  482,636 (180,129 - 1,044,648)", 55 (-31 - 207),"  362,731 ( 42,800 -   929,508)", -23 ( -86 -  13)," 1,571 ( -895 -  5,969)","  630 ( -359 - 2,392)",    576
Kenya,5-14,100,"120,578 (50,225 - 221,821)",111 ( 66 - 181),"  346,261 (162,145 -   638,900)", 11 (-34 -  81),"  225,683 ( 16,476 -   532,317)",  -2 ( -12 -   5),   102 ( -320 -    766),   43 ( -134 -   321),"  5,252"
Lesotho,0-4,100,"120,774 (52,416 - 217,087)",157 ( 84 - 274),"1,719,744 (898,842 - 3,092,322)", 57 (-16 - 174),"1,598,971 (769,140 - 2,977,500)", -23 ( -74 -   7)," 1,442 ( -403 -  4,543)","  609 ( -171 - 1,920)","  2,624"
Lesotho,5-14,100,"121,302 (54,173 - 215,032)", 70 ( 43 - 109),"  768,545 (457,314 - 1,206,367)",-30 (-57 -   9),"  647,244 (326,466 - 1,094,529)",   6 (  -2 -  12),  -324 ( -678 -     92), -146 ( -305 -    41)," -4,442"
Malawi,0-4,100," 54,082 (25,648 -  93,541)",288 (160 - 493),"  564,110 (267,947 - 1,058,219)",188 ( 60 - 393),"  510,028 (209,145 - 1,005,023)", -76 (-163 - -22)," 5,250 (1,508 - 11,338)","2,094 (  601 - 4,521)",    244
Malawi,5-14,100," 54,136 (25,492 -  93,485)",142 ( 93 - 209),"  277,025 (153,232 -   453,189)", 42 ( -7 - 109),"  222,889 ( 94,272 -   402,656)",  -9 ( -26 -   1),"   609 (  -97 -  1,697)",  254 (  -41 -   707),    879
Tanzania,0-4,100," 48,270 (22,385 -  84,516)",434 (262 - 718),"  805,473 (419,606 - 1,445,372)",334 (162 - 618),"  757,204 (371,951 - 1,392,231)",-136 (-258 - -62)," 9,348 (4,296 - 17,735)","3,741 (1,720 - 7,099)",    202
Tanzania,5-14,100," 48,503 (21,907 -  83,908)",167 (114 - 234),"  309,185 (179,319 -   494,424)", 67 ( 14 - 134),"  260,682 (126,055 -   445,447)", -13 ( -27 -  -3),"   822 (  166 -  1,747)",  344 (   70 -   732),    757
Uganda,0-4,100," 62,271 (31,965 - 102,976)",513 (256 - 951),"  916,115 (430,856 - 1,760,659)",413 (156 - 851),"  853,844 (366,735 - 1,697,308)",-167 (-354 - -58),"11,280 (3,888 - 23,850)","4,559 (1,572 - 9,639)",    187
Uganda,5-14,100," 62,073 (31,929 - 101,714)",250 (145 - 399),"  447,732 (242,959 -   753,961)",150 ( 45 - 299),"  385,658 (177,026 -   693,971)", -31 ( -66 -  -9)," 1,972 (  546 -  4,234)","  838 (  232 - 1,799)",    460
Zimbabwe,0-4,100," 72,670 (31,949 - 127,993)",125 ( 65 - 221),"  607,699 (281,644 - 1,144,910)", 25 (-35 - 121),"  535,029 (202,475 - 1,074,220)", -10 ( -50 -  14),"   666 ( -931 -  3,258)","  275 ( -384 - 1,344)","  1,945"
Zimbabwe,5-14,100," 72,130 (31,945 - 128,436)", 99 ( 57 - 162),"  478,122 (239,708 -   850,125)", -1 (-43 -  62),"  405,991 (165,790 -   777,908)",   0 ( -13 -  10),   -15 ( -581 -    794),   -6 ( -254 -   346),"-63,107"
