country,age,numPT.soc,cost.soc,numPT.int,cost.int,DnumPT,Dcases,Datt,Ddeaths,LY0.dif,LY.dif,Dcost,ICER
Cameroon,0-4,100," 4,764 (2,217 -  8,603)",  175 (  158 -   193),"   19,778 ( 15,285 -    26,613)",   75 (   58 -    93),  -4 (  -9 -  -2), -2 (  -6 -  1), -1 ( -3 -  0),   83 ( 13 -   201), 34 (  6 -    83),"   15,014 ( 12,500 -    18,475)",   437
Cameroon,5-14,100," 4,236 (1,815 -  7,977)",   74 (   55 -    99),"    8,100 (  5,362 -    12,016)",  -26 (  -45 -    -1),   0 (   0 -   1),  0 (  -1 -  0),  0 (  0 -  0),   -8 (-19 -     0), -3 ( -8 -     0),"    3,864 (  1,463 -     6,460)","-1,156"
Cote d'Ivoire,0-4,100," 4,544 (2,134 -  8,168)",  229 (  191 -   273),"   35,204 ( 27,933 -    44,660)",  129 (   91 -   173),  -9 ( -18 -  -3), -2 ( -11 -  4), -3 ( -7 - -1),  182 ( 36 -   431), 77 ( 15 -   181),"   30,660 ( 24,582 -    38,139)",   400
Cote d'Ivoire,5-14,100," 8,746 (3,653 - 18,064)","  817 (  587 - 1,136)","  126,499 ( 87,346 -   181,216)","  717 (  487 - 1,036)", -33 ( -76 -  -9), -2 ( -43 - 27), -8 (-17 - -2),"  467 (114 - 1,002)",208 ( 51 -   447),"  117,753 ( 81,021 -   168,969)",   566
DRC,0-4,100,"10,631 (3,331 - 25,711)","1,739 (1,508 - 2,008)","  139,505 (111,594 -   178,024)","1,639 (1,408 - 1,908)",-113 (-219 - -40),-62 (-166 -  6),-26 (-65 - -4),"1,678 (279 - 4,109)","688 (115 - 1,685)","  128,873 (100,976 -   166,495)",   187
DRC,5-14,100," 1,907 (  719 -  3,691)",   89 (   73 -   108),"    6,983 (  5,347 -     9,185)",  -11 (  -27 -     8),   0 (   0 -   0),  0 (   0 -  0),  0 (  0 -  0),   -2 ( -9 -     2), -1 ( -4 -     1),"    5,076 (  3,779 -     6,542)","-4,757"
Kenya,0-4,100," 5,090 (2,334 -  9,114)",  295 (  249 -   349),"   29,959 ( 22,332 -    41,050)",  195 (  149 -   249), -13 ( -26 -  -4), -9 ( -21 - -1), -2 ( -6 -  0),  154 ( 28 -   426), 62 ( 11 -   171),"   24,869 ( 18,871 -    33,381)",   402
Kenya,5-14,100," 3,242 (1,171 -  6,385)",   32 (   24 -    41),"    3,194 (  2,185 -     4,636)",  -68 (  -76 -   -59),   1 (   0 -   2),  0 (  -1 -  1),  0 (  0 -  0),  -14 (-31 -    -3), -6 (-13 -    -1),"      -49 ( -2,407 -     1,592)",     8
Lesotho,0-4,100," 3,730 (1,746 -  6,588)",  221 (  182 -   267),"   18,121 ( 13,359 -    24,730)",  121 (   82 -   167),  -8 ( -15 -  -3), -2 ( -10 -  3), -2 ( -6 -  0),  144 ( 29 -   342), 61 ( 12 -   145),"   14,391 ( 10,777 -    19,177)",   236
Lesotho,5-14,100," 3,980 (1,828 -  7,104)",  305 (  240 -   383),"   24,972 ( 17,876 -    35,528)",  205 (  140 -   283),  -8 ( -17 -  -2),  0 (  -9 -  7), -2 ( -4 -  0),  111 ( 26 -   234), 50 ( 12 -   105),"   20,992 ( 15,149 -    29,493)",   420
Malawi,0-4,100," 1,957 (  846 -  3,617)",  130 (  115 -   146),"   15,440 ( 13,114 -    18,396)",   30 (   15 -    46),  -2 (  -4 -  -1), -1 (  -3 -  0),  0 ( -1 -  0),   34 (  5 -    92), 13 (  2 -    37),"   13,483 ( 11,738 -    15,515)"," 1,002"
Malawi,5-14,100," 3,501 (1,529 -  6,597)","1,022 (  662 - 1,536)","  119,033 ( 76,010 -   182,479)","  922 (  562 - 1,436)",  -5 ( -13 -  -1),  7 (  -4 - 21), -4 (-11 - -1),  295 ( 46 -   698),123 ( 19 -   291),"  115,533 ( 73,607 -   178,204)",   940
Tanzania,0-4,100,"13,192 (4,337 - 30,790)","1,745 (1,311 - 2,321)","   98,875 ( 63,426 -   152,722)","1,645 (1,211 - 2,221)", -94 (-190 - -32),-59 (-157 - 15),-19 (-56 - -3),"1,320 (184 - 3,824)","528 ( 74 - 1,530)","   85,683 ( 51,031 -   136,252)",   162
Tanzania,5-14,100," 3,570 (1,685 -  6,296)",  473 (  366 -   605),"   25,856 ( 16,652 -    39,366)",  373 (  266 -   505),  -1 (  -3 -   0),  2 (  -1 -  7), -1 ( -4 -  0),   82 (  9 -   233), 34 (  4 -    98),"   22,286 ( 14,336 -    33,826)",   649
Uganda,0-4,100," 4,208 (1,830 -  8,002)",  367 (  260 -   516),"  197,071 (139,233 -   275,819)",  267 (  160 -   416), -16 ( -35 -  -5), -7 ( -24 -  6), -5 (-12 - -1),  304 ( 44 -   797),123 ( 18 -   322),"  192,863 (135,920 -   271,272)"," 1,572"
Uganda,5-14,100," 6,357 (2,714 - 12,294)","1,291 (  926 - 1,789)","  680,730 (488,905 -   944,199)","1,191 (  826 - 1,689)",  -4 ( -10 -  -1), 16 (  -2 - 42), -8 (-19 - -1),"  498 ( 56 - 1,206)",211 ( 24 -   512),"  674,373 (483,933 -   936,037)"," 3,189"
Zimbabwe,0-4,100," 3,916 (1,887 -  6,926)",  158 (  130 -   192),"   66,203 ( 54,051 -    80,856)",   58 (   30 -    92),  -4 (  -8 -  -1), -2 (  -6 -  0), -1 ( -2 -  0),   50 (  7 -   133), 21 (  3 -    55),"   62,287 ( 50,709 -    76,239)"," 3,011"
Zimbabwe,5-14,100,"11,917 (5,121 - 24,476)","2,933 (1,787 - 4,849)","1,201,550 (726,963 - 1,974,943)","2,833 (1,687 - 4,749)",  -8 ( -21 -  -2), 19 (  -5 - 54),-10 (-26 - -1),"  636 ( 75 - 1,589)",277 ( 33 -   694),"1,189,633 (719,463 - 1,961,359)"," 4,288"
