country,age,numPT.soc,cost.soc,numPT.int,cost.int,DnumPT,Dcases,Datt,Ddeaths,LY0.dif,LY.dif,Dcost,ICER
Cameroon,0-4,100,"4,412 (1,961 -  8,159)",  175 (  158 -   193),"   19,750 ( 15,153 -    26,528)",   75 (   58 -    93),  -4 (  -9 -  -2),  1 (   0 -  2), -2 ( -4 -  -1),  151 (   73 -   272), 41 ( 20 -    74),"   15,338 ( 12,835 -    18,846)",   371
Cameroon,5-14,100,"4,268 (1,839 -  8,000)",   74 (   55 -    99),"    8,088 (  5,353 -    12,134)",  -26 (  -45 -    -1),   0 (   0 -   1), -1 (  -1 -  0),  0 (  0 -   0),  -15 (  -28 -    -1), -4 ( -8 -     0),"    3,820 (  1,313 -     6,473)",  -864
Cote d'Ivoire,0-4,100,"3,792 (1,771 -  6,716)",  229 (  191 -   273),"   35,234 ( 27,929 -    44,800)",  129 (   91 -   173),  -9 ( -18 -  -3),  5 (   3 -  8), -5 (-10 -  -3),  337 (  170 -   597), 94 ( 48 -   167),"   31,442 ( 25,228 -    39,190)",   333
Cote d'Ivoire,5-14,100,"5,403 (2,550 -  9,743)","  817 (  587 - 1,136)","  126,592 ( 87,947 -   180,929)","  717 (  487 - 1,036)", -33 ( -76 -  -9), 29 (  13 - 47),-16 (-25 -  -9),"  904 (  534 - 1,478)",274 (162 -   448),"  121,189 ( 84,094 -   173,865)",   442
DRC,0-4,100,"6,430 (2,299 - 14,590)","1,739 (1,508 - 2,008)","  139,616 (111,516 -   178,853)","1,639 (1,408 - 1,908)",-113 (-219 - -40),-11 ( -68 - 24),-47 (-87 - -21),"2,977 (1,318 - 5,535)","809 (358 - 1,504)","  133,185 (105,986 -   170,704)",   165
DRC,5-14,100,"1,922 (  735 -  3,766)",   89 (   73 -   108),"    6,990 (  5,364 -     9,187)",  -11 (  -27 -     8),   0 (   0 -   0),  0 (   0 -  0),  0 (  0 -   0),   -5 (  -13 -     4), -1 ( -4 -     1),"    5,068 (  3,773 -     6,551)","-3,574"
Kenya,0-4,100,"4,649 (2,106 -  8,457)",  295 (  249 -   349),"   29,980 ( 22,279 -    41,046)",  195 (  149 -   249), -13 ( -26 -  -4), -5 ( -16 -  2), -4 ( -9 -  -1),  261 (   73 -   590), 69 ( 19 -   155),"   25,331 ( 19,289 -    33,815)",   369
Kenya,5-14,100,"3,331 (1,291 -  6,558)",   32 (   24 -    41),"    3,195 (  2,190 -     4,589)",  -68 (  -76 -   -59),   1 (   0 -   2), -1 (  -1 -  0),  0 (  0 -   1),  -27 (  -45 -   -12), -7 (-13 -    -3),"     -136 ( -2,512 -     1,479)",    18
Lesotho,0-4,100,"3,199 (1,460 -  5,731)",  221 (  182 -   267),"   18,152 ( 13,302 -    24,814)",  121 (   82 -   167),  -8 ( -15 -  -3),  4 (   1 -  6), -4 ( -8 -  -2),  264 (  129 -   475), 75 ( 37 -   134),"   14,954 ( 11,291 -    19,693)",   201
Lesotho,5-14,100,"3,255 (1,507 -  5,788)",  305 (  240 -   383),"   25,004 ( 17,890 -    35,039)",  205 (  140 -   283),  -8 ( -17 -  -2),  8 (   5 - 11), -4 ( -6 -  -2),  214 (  126 -   345), 66 ( 39 -   106),"   21,748 ( 15,749 -    29,973)",   331
Malawi,0-4,100,"1,878 (  797 -  3,514)",  130 (  115 -   146),"   15,436 ( 13,145 -    18,267)",   30 (   15 -    46),  -2 (  -4 -  -1),  0 (  -1 -  1), -1 ( -2 -   0),   61 (   21 -   127), 16 (  6 -    33),"   13,558 ( 11,778 -    15,567)",   857
Malawi,5-14,100,"2,547 (1,156 -  4,544)","1,022 (  662 - 1,536)","  119,015 ( 76,393 -   183,165)","  922 (  562 - 1,436)",  -5 ( -13 -  -1), 19 (  10 - 33), -9 (-15 -  -4),  578 (  296 -   996),160 ( 82 -   276),"  116,468 ( 74,492 -   179,755)",   728
Tanzania,0-4,100,"9,723 (2,703 - 24,765)","1,745 (1,311 - 2,321)","   99,326 ( 63,220 -   155,953)","1,645 (1,211 - 2,221)", -94 (-190 - -32),-22 (-121 - 43),-34 (-79 -  -6),"2,315 (  413 - 5,443)","608 (109 - 1,430)","   89,603 ( 53,790 -   143,420)",   147
Tanzania,5-14,100,"3,256 (1,448 -  5,919)",  473 (  366 -   605),"   25,966 ( 16,702 -    40,194)",  373 (  266 -   505),  -1 (  -3 -   0),  5 (   1 - 11), -2 ( -5 -  -1),  163 (   33 -   329), 45 (  9 -    92),"   22,709 ( 14,684 -    34,902)",   500
Uganda,0-4,100,"3,399 (1,514 -  6,297)",  367 (  260 -   516),"  197,082 (139,445 -   276,064)",  267 (  160 -   416), -16 ( -35 -  -5),  2 ( -10 - 12), -8 (-16 -  -3),"  546 (  208 - 1,110)",145 ( 55 -   295),"  193,683 (136,740 -   272,101)"," 1,333"
Uganda,5-14,100,"4,536 (2,007 -  8,511)","1,291 (  926 - 1,789)","  680,772 (488,064 -   943,295)","1,191 (  826 - 1,689)",  -4 ( -10 -  -1), 37 (  17 - 61),-15 (-26 -  -7),"  984 (  456 - 1,674)",279 (130 -   476),"  676,236 (484,648 -   938,170)"," 2,420"
