country,age,numPT.soc,cost.soc,numPT.int,cost.int,DnumPT,Dcases,Datt,Ddeaths,LY0.dif,LY.dif,Dcost,ICER
Cameroon,0-4,100,"4,412 (1,961 -  8,159)",  175 (  158 -   193),"   19,750 ( 15,153 -    26,528)",   75 (   58 -    93),  -7 ( -14 -  -3),  1 (  -1 -  2), -3 ( -6 -  -2),  222 (   99 -   406),   92 ( 41 -   168),"   15,338 ( 12,835 -    18,846)",   167
Cameroon,5-14,100,"4,268 (1,840 -  8,000)",   74 (   55 -    99),"    8,088 (  5,353 -    12,134)",  -26 (  -45 -    -1),   0 (  -1 -   0), -1 (  -1 -  0),  0 (  0 -   0),  -10 (  -22 -     5),   -4 (-10 -     2),"    3,820 (  1,313 -     6,473)",  -869
Cote d'Ivoire,0-4,100,"3,792 (1,772 -  6,716)",  229 (  191 -   273),"   35,235 ( 27,929 -    44,800)",  129 (   91 -   173),  -9 ( -18 -  -3),  5 (   3 -  8), -5 ( -9 -  -3),  333 (  171 -   581),  140 ( 72 -   244),"   31,442 ( 25,228 -    39,190)",   225
Cote d'Ivoire,5-14,100,"5,403 (2,550 -  9,744)","  817 (  587 - 1,136)","  126,594 ( 87,948 -   180,930)","  717 (  487 - 1,036)", -29 ( -66 -  -8), 30 (  15 - 48),-15 (-24 -  -9),"  867 (  521 - 1,396)",  386 (232 -   622),"  121,191 ( 84,095 -   173,867)",   314
DRC,0-4,100,"6,431 (2,300 - 14,591)","1,739 (1,508 - 2,008)","  139,619 (111,520 -   178,855)","1,639 (1,408 - 1,908)",-103 (-201 - -37), -8 ( -61 - 25),-44 (-81 - -20),"2,783 (1,252 - 5,137)","1,142 (514 - 2,107)","  133,189 (105,992 -   170,705)",   117
DRC,5-14,100,"1,922 (  735 -  3,766)",   89 (   73 -   108),"    6,990 (  5,364 -     9,187)",  -11 (  -27 -     8),   0 (   0 -   0),  0 (   0 -  0),  0 (  0 -   0),   -5 (  -13 -     4),   -2 ( -6 -     2),"    5,068 (  3,773 -     6,551)","-2,473"
Kenya,0-4,100,"4,651 (2,107 -  8,459)",  295 (  249 -   349),"   29,981 ( 22,279 -    41,046)",  195 (  149 -   249), -14 ( -27 -  -5), -5 ( -17 -  2), -4 ( -9 -  -1),  277 (   77 -   620),  111 ( 31 -   248),"   25,330 ( 19,289 -    33,814)",   228
Kenya,5-14,100,"3,331 (1,292 -  6,558)",   32 (   24 -    41),"    3,195 (  2,190 -     4,589)",  -68 (  -76 -   -59),   0 (   0 -   1), -1 (  -1 -  0),  0 (  0 -   1),  -23 (  -40 -    -9),  -10 (-17 -    -4),"     -136 ( -2,512 -     1,479)",    14
Lesotho,0-4,100,"3,199 (1,461 -  5,732)",  221 (  182 -   267),"   18,153 ( 13,302 -    24,815)",  121 (   82 -   167), -10 ( -19 -  -3),  3 (   0 -  6), -5 ( -9 -  -2),  307 (  150 -   548),  130 ( 63 -   232),"   14,953 ( 11,291 -    19,693)",   115
Lesotho,5-14,100,"3,256 (1,508 -  5,789)",  305 (  240 -   383),"   25,004 ( 17,890 -    35,039)",  205 (  140 -   283),  -8 ( -18 -  -2),  8 (   4 - 11), -4 ( -6 -  -2),  220 (  130 -   351),   99 ( 59 -   158),"   21,748 ( 15,749 -    29,973)",   220
Malawi,0-4,100,"1,878 (  797 -  3,514)",  130 (  115 -   146),"   15,436 ( 13,145 -    18,267)",   30 (   15 -    46),  -2 (  -5 -  -1),  0 (  -1 -  1), -1 ( -2 -   0),   68 (   25 -   140),   27 ( 10 -    56),"   13,558 ( 11,778 -    15,567)",   500
Malawi,5-14,100,"2,547 (1,156 -  4,544)","1,022 (  662 - 1,536)","  119,015 ( 76,393 -   183,165)","  922 (  562 - 1,436)",  -5 ( -13 -  -1), 19 (  10 - 33), -9 (-15 -  -4),  578 (  295 -   995),  241 (123 -   414),"  116,468 ( 74,492 -   179,755)",   484
